# Silicon absorption coefficient at 300 K
# Source: Green, M.A., "Self-consistent optical parameters of intrinsic silicon
#         at 300 K including temperature coefficients"
#         Solar Energy Materials and Solar Cells, 92(11):1305-1310, 2008.
#         ISSN 0927-0248. doi: https://doi.org/10.1016/j.solmat.2008.06.009
#
# wavelength range: 250-1450 nm, 10 nm intervals (Table 1)
# alpha converted from /cm to 1/um (divide by 10000)
wavelength (nm)  alpha (1/um)
250              184.0
260              197.0
270              218.0
280              237.0
290              229.0
300              177.0
310              146.0
320              130.0
330              118.0
340              110.0
350              106.0
360              104.0
370              73.7
380              31.3
390              14.3
400              9.30
410              6.95
420              5.27
430              4.02
440              3.07
450              2.41
460              1.95
470              1.66
480              1.44
490              1.26
500              1.11
510              0.970
520              0.880
530              0.785
540              0.705
550              0.639
560              0.578
570              0.532
580              0.488
590              0.449
600              0.4175
610              0.380
620              0.352
630              0.328
640              0.303
650              0.279
660              0.257
670              0.239
680              0.220
690              0.204
700              0.189
710              0.178
720              0.168
730              0.154
740              0.142
750              0.131
760              0.119
770              0.110
780              0.103
790              0.0928
800              0.0850
810              0.0775
820              0.0707
830              0.0647
840              0.0590
850              0.0534
860              0.0479
870              0.0431
880              0.0383
890              0.0343
900              0.0303
910              0.0271
920              0.0240
930              0.0209
940              0.0183
950              0.0156
960              0.0134
970              0.0113
980              0.00960
990              0.00790
1000             0.00640
1010             0.00511
1020             0.00399
1030             0.00302
1040             0.00226
1050             0.00163
1060             0.00111
1070             0.000800
1080             0.000620
1090             0.000470
1100             0.000350
1110             0.000270
1120             0.000200
1130             0.000150
1140             0.000100
1150             6.80e-05
1160             4.20e-05
1170             2.20e-05
1180             6.50e-06
1190             3.60e-06
1200             2.20e-06
1210             1.30e-06
1220             8.20e-07
1230             4.70e-07
1240             2.40e-07
1250             1.00e-07
1260             3.60e-08
1270             2.00e-08
1280             1.20e-08
1290             7.10e-09
1300             4.50e-09
1310             2.70e-09
1320             1.60e-09
1330             8.00e-10
1340             3.50e-10
1350             1.70e-10
1360             9.50e-11
1370             6.00e-11
1380             3.80e-11
1390             2.30e-11
1400             1.40e-11
1410             8.50e-12
1420             5.00e-12
1430             2.50e-12
1440             1.80e-12
1450             1.20e-12
